index,event,NClus,foundZ,trueZ,centrality
1,1,2117,-1.4,-2.00375
2,2,185,-21,-23.914
3,3,94,-7.8,-8.46999
4,4,1313,-15.6,-17.158
5,5,882,-17,-18.2867
7,7,3502,-0.2,-0.0994089
8,8,265,4.8,5.4806
9,9,778,2,1.67367
12,12,663,-15.4,-16.45
13,13,504,-12.4,-12.6948
14,14,258,-6,-5.74973
15,15,2947,-17.2,-18.1408
16,16,148,-0.8,-0.65708
18,18,1539,-20.4,-21.8332
19,19,1498,-4.4,-4.95752
21,21,3061,-5.6,-5.98171
23,23,42,-9.6,-10.5214
24,24,3524,-0.8,-0.740885
25,25,8,-15.8,-15.2124
26,26,2009,2.2,1.82376
28,28,27,27.2,1.82795
29,29,1560,-26.4,-27.9424
30,30,4897,-13.4,-14.2619
31,31,52,-15,-14.1016
33,33,3154,-3.6,-3.95522
34,34,376,4,4.57505
35,35,1485,-12.8,-13.2956
37,37,3606,-23.6,-24.6556
38,38,5893,-4.2,-4.05469
39,39,5210,-8.4,-8.97212
40,40,751,7.6,7.77312
41,41,0,0,-9.59965
43,43,244,-23.2,-24.8599
44,44,0,0,12.3541
47,47,248,-13,-13.4292
48,48,143,3.2,5.28986
49,49,488,-15.8,-16.7246
51,51,5719,-6.2,-6.26179
54,54,2,0,-21.9457
55,55,2395,-14,-15.5487
56,56,800,19.6,20.7363
57,57,59,-10,-9.81295
61,61,2197,-0.2,-0.585132
62,62,4778,1.4,1.5937
63,63,493,-1.6,-2.11682
65,65,452,-18.6,-20.3817
67,67,599,-8.8,-10.0112
68,68,387,-9.8,-10.5125
69,69,840,-13.8,-14.5496
72,72,1256,0.4,0.371118
74,74,3539,12,12.0649
77,77,2786,-8,-9.07819
78,78,99,-0.4,-0.380131
79,79,1109,-2.2,-2.74063
81,81,4185,10,10.6737
83,83,4590,-5.4,-5.85456
84,84,2937,2.6,3.02874
85,85,160,14.6,16.4382
86,86,154,-3.6,-2.75778
89,89,483,5.2,5.55795
92,92,3770,1.2,1.10437
93,93,3174,1.08247e-15,-0.113641
95,95,37,-3.8,-4.36816
97,97,1635,-22,-23.1197
99,99,1968,-18,-18.5077
102,102,171,17.2,18.8629
103,103,260,4.8,5.26689
107,107,6879,6.4,7.36048
110,110,3497,33.6,-16.6038
111,111,89,1.8,1.33573
112,112,5703,-3.4,-3.41491
114,114,274,1.08247e-15,-0.14391
117,117,1554,4.6,4.88265
118,118,2342,4.2,3.70088
119,119,2661,-9.6,-10.2893
120,120,1693,13.4,13.2937
121,121,159,-7.6,-7.82887
126,126,589,1.8,1.69173
128,128,36,-12.4,-11.238
134,134,536,12,12.6091
136,136,594,-2.8,-3.53144
137,137,2026,2.2,1.99176
138,138,124,-7,-8.70917
139,139,4025,-17.2,-17.5437
142,142,4003,-12.6,-13.0348
144,144,2855,-5.6,-6.0588
145,145,1934,-8.4,-9.08019
147,147,310,-0.2,-0.178416
148,148,157,-7.4,-7.16083
151,151,3452,-15.4,-16.4793
153,153,129,-3.8,-4.29044
154,154,174,-10,-12.0258
156,156,40,-6.4,-6.85642
158,158,1604,-4.6,-5.67211
159,159,6254,-3.2,-3.10633
163,163,2832,2.4,2.49025
164,164,4316,-6.4,-7.13291
167,167,121,-13.8,-14.4028
168,168,4358,7.6,8.25576
169,169,530,-11,-12.01
171,171,6093,-2.4,-2.0259
175,175,3588,-11.4,-11.8737
177,177,1205,14.6,15.1191
179,179,116,7,8.5673
180,180,900,2.6,3.02326
181,181,859,-1,-0.977436
182,182,3729,8.4,9.05493
184,184,2761,-0.2,-0.336865
186,186,136,-12.6,-12.5172
187,187,1368,-8.4,-9.55057
192,192,373,0.6,0.858015
197,197,208,-15.4,-15.046
199,199,23,-12.4,-16.5008
200,200,4484,0.2,0.494693
201,201,62,12.4,11.7101
203,203,822,-8,-8.43816
204,204,3592,-6.8,-6.85635
205,205,2664,-2,-2.42345
207,207,49,-2.6,-2.5195
208,208,18,-1.4,-2.64104
212,212,295,-10.4,-10.0969
213,213,2,0,-3.65778
214,214,7,0,11.0188
217,217,96,-1,-2.54532
222,222,211,-0.4,-1.79252
224,224,2713,6,6.25661
225,225,1005,-7.2,-8.24884
226,226,1863,3.2,2.8429
228,228,90,1.8,2.8175
231,231,508,-2.8,-2.45586
232,232,1374,-11.6,-12.3805
233,233,0,0,-3.15562
234,234,2615,6.8,6.821
235,235,397,-10.8,-11.1329
236,236,46,13,15.1641
237,237,1046,5,5.04844
239,239,56,-6.2,-6.42311
240,240,831,-13,-13.1881
241,241,460,-5.6,-6.28083
244,244,222,-10.8,-11.7272
248,248,1165,-9.2,-9.57006
252,252,40,-5.8,-4.71334
253,253,665,1,0.683769
254,254,2425,-6.6,-6.87559
255,255,1137,-13.4,-14.3248
258,258,57,0.8,1.7306
260,260,340,-17.8,-18.5366
262,262,4978,-6,-5.89644
263,263,1756,-5.8,-6.64594
264,264,24,-10.2,-8.96435
265,265,2789,-16.2,-17.4131
266,266,3,0,13.9891
267,267,105,-4.2,-2.11904
268,268,1,0,10.6561
269,269,3230,-5.2,-5.51617
271,271,9,4.8,7.24188
272,272,692,-19.2,-21.049
274,274,2639,-17.6,-18.1896
279,279,1096,-29.6,-30.5343
281,281,4193,-5.2,-5.42053
282,282,172,-11,-12.3601
283,283,4,0,-1.03445
286,286,1266,-1.8,-2.05649
288,288,764,-6.4,-7.03428
290,290,360,-2.8,-3.60343
291,291,24,0,6.46211
292,292,94,5.4,6.11202
293,293,1231,-11.8,-12.5348
294,294,820,-2,-2.451
296,296,3776,-0.2,-0.303604
299,299,52,16.6,18.443
300,300,2372,3.2,3.10923
301,301,2229,7.8,8.01183
303,303,64,18.6,19.5619
306,306,393,-5.6,-5.94175
307,307,11,-9.6,-9.61017
309,309,93,-1.6,-2.04757
310,310,1993,-7.4,-7.85374
311,311,244,-1.4,-2.45295
312,312,63,-15.4,-15.4294
316,316,97,-7.2,-8.24216
318,318,1284,4,3.97631
324,324,3390,-1.2,-1.85847
325,325,4193,-10.2,-10.2592
326,326,963,-11,-11.1737
328,328,3123,-2.6,-3.18086
329,329,43,-10.4,-10.1347
332,332,1455,-9.8,-10.4529
335,335,8,-3,-5.95801
339,339,60,-16.4,-17.8313
342,342,53,-16.6,-14.0171
344,344,611,-21.8,-23.5627
345,345,5335,-7.4,-7.62054
346,346,22,-1.6,-4.56386
348,348,234,-5.4,-6.03225
353,353,81,-0.6,-0.307218
355,355,24,4.6,5.1962
359,359,4900,1.8,2.10225
360,360,607,0.4,1.07885
361,361,2964,-3.6,-3.68671
362,362,3291,19.6,14.2698
363,363,92,15.2,14.9896
365,365,4304,-7.8,-8.32679
369,369,1158,1.4,1.86882
370,370,51,-15.6,-15.1486
372,372,318,5,6.52128
374,374,305,3.4,3.93795
375,375,134,6.4,6.35632
