index,event,NClus,foundZ,MBDZ,calculated_centrality,MBD_charge_sum
21468,1468,2281,-17,-18.0911,0.318663,574.063
21470,1470,4541,-4.2,-4.35818,0.108008,1170.65
21471,1471,5,0,-22.2749,0.935539,9.62611
21476,1476,781,11.4,12.398,0.446558,340.588
21478,1478,145,3,3.734,0.749635,56.5045
21480,1480,4,0,-32.5377,1,3.14344
21483,1483,3718,4.2,4.28284,0.215342,825.594
21485,1485,39,-5.2,-14.5689,0.866583,21.0341
21487,1487,608,7.6,7.64842,0.538274,221.589
21488,1488,13,-0.6,-3.71986,0.935539,8.81635
21490,1490,207,-16.4,-17.5213,0.687036,88.5008
21491,1491,0,0,-2.30046,1,3.11873
21493,1493,1201,5.6,5.64343,0.436446,356.286
21494,1494,0,0,13.7601,1,2.36974
21495,1495,161,5,3.96132,0.831945,28.1453
21496,1496,2937,-1.6,-2.25391,0.25502,721.634
21497,1497,2392,6.2,6.56334,0.332226,543.981
21498,1498,2128,-9.8,-10.4873,0.340428,527.168
21501,1501,1192,-3.8,-5.15907,0.422497,379.488
21502,1502,675,1.08247e-15,-0.141383,0.534181,223.938
21504,1504,1203,-0.2,-0.00333793,0.456975,325.789
21507,1507,1684,-9.6,-9.77723,0.356704,498.525
21508,1508,46,-21.8,-22.2446,0.831945,28.9284
21510,1510,2674,5.2,5.46383,0.232757,776.234
21511,1511,4460,2.8,2.95255,0.140222,1054.22
21514,1514,450,-18.6,-19.8716,0.574951,183.441
21515,1515,3382,-8.8,-9.07269,0.186867,902.507
21517,1517,1919,2.8,3.02006,0.309144,593.74
21519,1519,6802,-8.8,-9.13017,0.00207059,1737.27
21521,1521,405,2.8,7.82976,0.652718,113.298
21523,1523,1212,-7.8,-8.41075,0.415563,392.066
21524,1524,2694,7,7.31528,0.18332,916.066
21526,1526,8,0,-9.24647,0.848012,25.6973
21529,1529,284,2.4,2.33641,0.749635,58.571
21531,1531,1482,-1.8,-1.7682,0.398693,419.208
21532,1532,34,12.8,12.9857,0.935539,9.48193
21533,1533,6353,3,3.39726,0.031396,1498.34
21538,1538,175,6.6,7.00006,0.768126,50.2988
21540,1540,2637,-12,-12.7375,0.276095,666.898
21542,1542,1196,-14,-15.465,0.490763,277.609
21543,1543,5297,2.6,3.2093,0.0494214,1413.46
21545,1545,61,-10.2,-10.459,0.866583,20.6724
21546,1546,3435,-6.4,-6.70049,0.219531,813.266
21548,1548,1085,-20.8,-22.2074,0.393926,427.183
21549,1549,3476,-8.6,-9.25082,0.161362,985.564
21552,1552,6632,3.4,3.72323,0.0189564,1567.82
21553,1553,4868,0.6,0.767553,0.0746697,1304.91
21560,1560,478,-8,-8.07117,0.664098,105.163
21561,1561,1397,-5.4,-5.70519,0.403445,414.318
21562,1562,514,-3.4,-2.67025,0.600103,157.299
21564,1564,6117,5.2,5.98624,0.0167092,1579.98
21566,1566,3650,-1.6,-1.92326,0.164058,977.586
21568,1568,3328,0.2,0.159221,0.196803,874.413
21572,1572,53,-9.8,-7.56355,0.91021,15.3518
21576,1576,4999,3.8,4.04051,0.117382,1137.33
21582,1582,14,8.6,8.94103,0.935539,10.5502
21584,1584,3295,0.2,-0.0586032,0.213945,826.597
21586,1586,236,-12,-11.5008,0.715478,73.4951
21587,1587,42,-22,-17.0738,0.935539,10.5432
21590,1590,1709,0.8,0.76686,0.415563,394.419
21591,1591,1474,-11.2,-11.7994,0.393926,428.988
21593,1593,3234,9.6,9.9602,0.20234,862.177
21595,1595,5864,16.4,17.6529,0.0456172,1430.46
21596,1596,282,-2.8,-3.6825,0.658432,109.562
21600,1600,5531,-10.2,-10.485,0.0912345,1237.42
21601,1601,1991,2,1.81235,0.356704,496.01
21602,1602,5909,-1.4,-1.63841,0.0257941,1526.35
21605,1605,2568,-8.8,-9.52909,0.247043,741.254
21608,1608,4830,16.4,17.9357,0.0297106,1505.55
21609,1609,758,-2.8,-3.72142,0.50622,259.407
21610,1610,66,-1.2,-3.39804,0.935539,11.5793
21611,1611,5923,-0.6,-0.399498,0.0659058,1343.7
21612,1612,4439,-19.8,-20.8108,0.0986822,1207.71
21613,1613,2533,-8.2,-8.82509,0.266336,691.796
21615,1615,6,0,-23.3976,1,2.72799
21617,1617,801,-3.2,-3.55037,0.484808,284.583
21622,1622,498,-11.2,-12.3523,0.578931,176.512
21623,1623,3,0,-1.47871,0.888188,18.0451
21624,1624,1372,5.8,6.13141,0.436446,356.936
21626,1626,3501,3,3.44535,0.18332,917.448
21627,1627,1382,3.8,3.73275,0.424728,376.253
21629,1629,2098,1.08247e-15,-0.144371,0.291568,631.401
21631,1631,336,-6.6,-7.59742,0.670086,101.026
21634,1634,4695,8,8.6523,0.0793406,1282.18
21636,1636,108,-2.6,0.924438,0.831945,29.9511
21638,1638,1332,-12,-12.978,0.470699,305.863
21642,1642,1748,-10.8,-11.4454,0.330476,549.696
21644,1644,105,-1.6,-1.38921,0.740389,62.4316
21649,1649,1758,-20.6,-21.8315,0.311279,589.689
21650,1650,4230,-7,-7.6912,0.144637,1038.59
21652,1652,1119,-0.2,-0.415351,0.448901,337.954
21654,1654,1,0,-9.58565,0.935539,10.8763
21656,1656,3939,10.8,11.3964,0.128569,1094.14
21657,1657,1,0,-12.1552,1,1.52942
21658,1658,19,-12.6,-14.3756,0.866583,23.0881
21659,1659,425,0.2,0.955156,0.641466,123.21
21661,1661,23,9.4,6.31558,0.965137,7.03916
21669,1669,4350,1.6,1.72466,0.125295,1106.09
21670,1670,4642,0.2,0.0730426,0.106981,1175.29
21672,1672,1809,2,1.76237,0.305469,601.59
21674,1674,3,0,-17.9079,0.91021,14.5182
21675,1675,6617,3.4,3.82097,0.00178167,1745.04
21676,1676,241,-4.2,-4.64474,0.731866,64.3141
21678,1678,1968,-4.2,-4.73026,0.303703,606.35
21679,1679,222,-14.6,-16.132,0.675591,96.8174
21680,1680,4732,-6,-5.82602,0.115696,1145.33
21681,1681,150,-2.6,-3.59712,0.768126,48.1347
21685,1685,21,-12.6,-8.00579,0.888188,18.0206
21687,1687,1229,9.4,9.15145,0.373349,463.473
21688,1688,4614,-21.8,-23.6404,0.0512672,1406.32
21689,1689,20,-7.2,-1.53012,0.965137,6.94556
21691,1691,1,0,1.97798,0.866583,22.717
21692,1692,9,6.6,6.06786,0.866583,21.8931
21694,1694,101,0.4,-1.02379,0.831945,31.544
21696,1696,1788,2.6,2.7223,0.384488,443.804
21698,1698,365,1,0.52451,0.609043,151.291
21699,1699,1652,-2.2,-2.82993,0.403445,411.634
21701,1701,447,-7.6,-8.42239,0.578931,179.5
21703,1703,3512,-9.8,-10.5078,0.180559,923.634
21705,1705,324,-23.6,-23.9426,0.658432,110.518
21707,1707,4823,-1.8,-2.01337,0.102631,1192.81
21708,1708,380,12.8,13.0799,0.559654,197.586
21709,1709,1044,-14.8,-16.4335,0.410732,400.163
21710,1710,775,-3.6,-4.23107,0.591323,166.179
21711,1711,5146,-6.2,-6.25458,0.0930162,1229.36
21712,1712,6477,2.4,2.9685,0.00910098,1640
21713,1713,4549,3.6,3.76863,0.165262,971.243
21714,1714,88,-2,-2.29882,0.888188,17.9915
21715,1715,3919,1.8,1.64246,0.166289,966.09
21716,1716,1040,-14.4,-16.0488,0.456975,324.518
21719,1719,4641,-8.2,-8.95018,0.131747,1082.9
21721,1721,1380,-4.8,-5.54294,0.328582,552.915
21722,1722,239,8.8,9.34269,0.652718,114.658
21723,1723,139,-8.2,-8.61936,0.790501,42.5483
21733,1733,310,7.8,8.40684,0.570874,184.196
21734,1734,1128,-2.4,-2.76074,0.441389,350.906
21736,1736,427,-16,-17.7833,0.636956,127.415
21737,1737,2025,-12.6,-12.9657,0.328582,553.567
21738,1738,5599,-0.6,-0.267056,0.0512672,1406.86
21739,1739,33,20.2,20.7567,0.790501,40.7231
21744,1744,513,3.6,3.53143,0.530601,228.331
21746,1746,578,-2.4,-2.77309,0.583073,172.526
21747,1747,138,5.6,5.43215,0.768126,50.6313
21749,1749,6640,0.2,0.815574,0.00910098,1639.44
21750,1750,167,-3.6,-3.84044,0.707998,75.8665
21752,1752,3735,-7.8,-8.03691,0.177638,930.469
21753,1753,123,-5.2,-5.33377,0.888188,16.6409
21755,1755,5749,-21.2,-22.4047,0.0322788,1495.21
21756,1756,2721,6.6,7.05136,0.263094,699.119
21761,1761,5222,-5,-4.78653,0.0586026,1376.33
21762,1762,4831,-20.8,-21.2151,0.0586026,1373.48
21763,1763,618,-7.4,15.8672,0.715478,72.2492
21764,1764,752,-29.2,-32.6077,0.519703,239.56
21765,1765,1350,11.8,12.4844,0.407955,407.106
21769,1769,3837,-13,-13.5491,0.189387,896.828
21770,1770,4643,-18,-18.2973,0.105857,1179.83
21773,1773,12,-21.8,-22.1533,0.888188,19.8167
21776,1776,1476,-9,-9.46719,0.401037,417.555
21778,1778,316,20.2,-4.3092,0.866583,22.2958
21779,1779,127,5.4,7.51016,0.694275,84.1395
21781,1781,0,0,26.1229,1,0.961864
21785,1785,3400,-1,-1.26005,0.1908,891.936
21787,1787,259,-8,-9.65799,0.670086,102.012
21788,1788,2079,4.2,4.86916,0.322675,563.848
21790,1790,3636,-14.2,-15.3053,0.176305,937.895
21794,1794,35,3.2,5.62756,0.935539,11.7351
21796,1796,154,0.6,-0.531055,0.778334,46.2947
21799,1799,38,-12.4,-13.4349,0.888188,17.4693
21804,1804,4982,4,4.79865,0.0793406,1283.25
21806,1806,246,17.2,19.4248,0.670086,103.642
21808,1808,5226,-0.4,-0.624088,0.0863389,1256.81
21809,1809,2850,-0.8,-1.10563,0.281296,656.166
21810,1810,660,-16.6,-17.4552,0.509623,253.492
21812,1812,221,4,4.82434,0.731866,63.9178
21813,1813,3422,7.8,7.912,0.192437,886.786
21814,1814,1930,0.2,0.156511,0.330476,546.969
21815,1815,196,-29.4,-31.6952,0.731866,63.8885
21819,1819,79,-7.8,-6.44596,0.817226,32.8742
21821,1821,1903,-6,-6.654,0.352354,505.362
21824,1824,723,-7.8,-8.899,0.493523,275.16
21826,1826,716,-10.6,-11.9042,0.583073,175.547
21827,1827,500,2.4,3.00251,0.636956,126.61
21828,1828,4210,5,5.47619,0.0951189,1218.98
21829,1829,4155,-19.4,-20.1307,0.118698,1133.29
21830,1830,862,1.4,2.10694,0.538274,223.189
21832,1832,69,-1.8,0.0170703,0.866583,20.9634
21835,1835,3349,-12.2,-13.2331,0.165262,973.214
21838,1838,2615,-7,-7.9301,0.248712,738.228
21840,1840,72,-22,-25.1814,0.749635,58.1929
21843,1843,181,-0.6,-0.694083,0.817226,32.5173
21847,1847,618,-3.6,-3.80806,0.578931,179.449
21850,1850,614,-4.8,-5.15916,0.556299,203.532
21851,1851,67,-6.8,-5.00967,0.965137,6.79441
21853,1853,2121,6.8,7.3712,0.279594,660.287
21855,1855,3984,-0.4,-0.603759,0.101507,1196.6
21856,1856,2162,6.6,6.54674,0.277684,666.064
21857,1857,452,-0.8,-0.883004,0.622622,135.967
21858,1858,304,-7.4,-8.74273,0.707998,78.0849
21859,1859,40,-26,-27.2973,0.831945,31.1017
21860,1860,5438,6.2,6.48886,0.0595496,1371.81
21861,1861,6,0,-1.42415,0.803246,37.8778
21863,1863,1919,-9.4,-9.60354,0.328582,552.375
