index,event,NClus,foundZ,trueZ,chargeSum,centrality
8154,8154,661,nan,-9.98687,210.706,nan
8155,8155,29,nan,9.35608,18.6161,nan
8156,8156,260,nan,-15.7776,82.8434,nan
8157,8157,362,nan,-13.9324,131.121,nan
8158,8158,1651,nan,-3.7782,466.912,nan
8160,8160,35,nan,-14.5792,18.4355,nan
8162,8162,68,nan,9.83009,20.2273,nan
8163,8163,2967,nan,-2.9317,781.096,nan
8166,8166,4347,nan,-0.46245,1196.31,nan
8167,8167,15,nan,-11.4082,22.8581,nan
8168,8168,7074,nan,-10.263,1592.82,nan
8172,8172,3867,nan,-8.52016,993.046,nan
8173,8173,0,nan,-22.1811,2.1604,nan
8176,8176,3455,nan,10.0959,874.46,nan
8177,8177,55,nan,4.0006,13.9646,nan
8179,8179,174,nan,1.00827,46,nan
8182,8182,151,nan,-0.180646,91.7376,nan
8183,8183,1038,nan,-8.53186,313.467,nan
8185,8185,4459,nan,19.0085,1273.52,nan
8189,8189,309,nan,-11.4199,94.2818,nan
8192,8192,2511,nan,14.1176,748.613,nan
8193,8193,515,nan,-9.70443,222.035,nan
8194,8194,193,nan,-17.9672,57.4094,nan
8195,8195,802,nan,-11.129,342.176,nan
8197,8197,2856,nan,4.51138,780.66,nan
8198,8198,2958,nan,-19.3496,746.215,nan
8199,8199,19,nan,-2.01607,27.3208,nan
8200,8200,208,nan,-12.6718,72.457,nan
8201,8201,488,nan,-16.687,146.401,nan
8203,8203,6283,nan,-6.95164,1346.77,nan
8205,8205,156,nan,5.51437,21.452,nan
8208,8208,6387,nan,18.2761,1600.54,nan
8209,8209,1699,nan,-25.7735,522.076,nan
8211,8211,588,nan,-15.4156,228.062,nan
8213,8213,3531,nan,0.394532,1045.9,nan
8214,8214,1568,nan,-1.46312,467.605,nan
8216,8216,3186,nan,-3.23035,862.859,nan
8217,8217,2233,nan,-3.84875,650.773,nan
8219,8219,85,nan,1.38097,15.3938,nan
8222,8222,3537,nan,0.612695,759.002,nan
8223,8223,22,nan,9.21935,5.46743,nan
8225,8225,5287,nan,-15.7788,1225.71,nan
8226,8226,478,nan,-10.9876,166.791,nan
8227,8227,2618,nan,-14.8641,764.074,nan
8229,8229,3245,nan,-18.5507,719.685,nan
8231,8231,942,nan,-10.882,393.05,nan
8232,8232,2315,nan,6.93224,592.768,nan
8233,8233,184,nan,-23.7518,61.9837,nan
8235,8235,308,nan,-7.47737,93.772,nan
8236,8236,9,nan,2.39053,7.23525,nan
8238,8238,229,nan,5.62522,77.752,nan
8239,8239,1081,nan,-6.50169,413.178,nan
8240,8240,77,nan,-9.20773,51.5407,nan
8241,8241,4562,nan,-6.58368,1072.71,nan
8247,8247,2875,nan,-8.08293,794.018,nan
8248,8248,4057,nan,-0.626983,1129.7,nan
8249,8249,1254,nan,0.610287,602.639,nan
8253,8253,265,nan,5.739,89.8443,nan
8255,8255,237,nan,3.94208,100.057,nan
8256,8256,330,nan,-2.05546,139.284,nan
8257,8257,293,nan,6.7188,178.128,nan
8260,8260,18,nan,-6.27043,39.0481,nan
8261,8261,2973,nan,-12.7445,807.612,nan
8262,8262,337,nan,-13.6611,78.9068,nan
8263,8263,78,nan,18.134,34.1238,nan
8266,8266,3139,nan,-17.0266,868.527,nan
8267,8267,1571,nan,2.51152,434.202,nan
8268,8268,1503,nan,-19.5158,493.754,nan
8270,8270,95,nan,8.65637,42.9296,nan
8272,8272,825,nan,-13.0845,191.114,nan
8276,8276,147,nan,5.35067,65.4386,nan
8277,8277,1978,nan,-11.4136,520.99,nan
8279,8279,562,nan,-20.3699,179.092,nan
8281,8281,4921,nan,3.20299,1125.05,nan
8282,8282,2592,nan,-14.5969,864.226,nan
8283,8283,441,nan,2.79682,149.919,nan
8285,8285,4,nan,-7.73454,2.32083,nan
8288,8288,148,nan,-5.6315,61.0989,nan
8290,8290,5227,nan,-7.21053,1222.72,nan
8291,8291,45,nan,21.6802,8.64288,nan
8294,8294,1800,nan,-2.29004,639.861,nan
8296,8296,351,nan,-12.7389,108.102,nan
8298,8298,1328,nan,-10.0199,411.24,nan
8299,8299,0,nan,-8.23559,4.20256,nan
8300,8300,2734,nan,6.51372,859.977,nan
8301,8301,471,nan,4.05142,160.526,nan
8305,8305,698,nan,-6.26774,220.648,nan
8306,8306,4014,nan,-20.5392,1156.99,nan
8308,8308,801,nan,-26.4187,389.039,nan
8309,8309,2409,nan,-16.2232,665.791,nan
8310,8310,2119,nan,-9.01852,569.219,nan
8311,8311,6272,nan,-8.15155,1432.82,nan
8312,8312,345,nan,-18.6327,140.293,nan
8313,8313,1646,nan,-6.8148,481.661,nan
8315,8315,8,nan,-3.1127,31.7356,nan
8316,8316,201,nan,-8.60828,68.6487,nan
8317,8317,671,nan,-3.48124,171.906,nan
8318,8318,953,nan,-5.98005,315.828,nan
8320,8320,3402,nan,-11.1005,839.975,nan
8321,8321,539,nan,-22.691,282.624,nan
8322,8322,283,nan,-14.5784,133.23,nan
8323,8323,182,nan,0.123262,92.1011,nan
8324,8324,1561,nan,13.9799,496.251,nan
8326,8326,58,nan,-0.359593,34.1031,nan
8329,8329,256,nan,-7.46154,73.1559,nan
8330,8330,1557,nan,-9.51349,476.589,nan
8331,8331,128,nan,-28.6955,64.3314,nan
8332,8332,3222,nan,-14.5474,754.179,nan
8333,8333,1647,nan,-1.5532,432.428,nan
8334,8334,925,nan,13.4322,293.408,nan
8335,8335,546,nan,10.8678,231.662,nan
8336,8336,733,nan,12.866,198.403,nan
8337,8337,3929,nan,3.79206,1035.83,nan
